A股代码,公司简称,公司全称,所属行业,A股上市日期,B股代码,省份,城市,公司网址,注册地址
300319,麦捷科技,深圳市麦捷微电子科技股份有限公司,C 制造业,2012-05-23,,广东,深圳市,www.szmicrogate.com,广东省深圳市龙华新区观澜街道广培社区裕新路65号南兴工业园厂房第一栋、第二栋
300320,海达股份,江阴海达橡塑股份有限公司,C 制造业,2012-06-01,,江苏,无锡市,www.haida.cn,江苏省江阴市周庄镇云顾路585号
300321,同大股份,山东同大海岛新材料股份有限公司,C 制造业,2012-05-23,,山东,潍坊市,www.tongdahdcx.com,山东省昌邑市同大街522号
300322,硕贝德,惠州硕贝德无线科技股份有限公司,C 制造业,2012-06-08,,广东,惠州市,www.speed-hz.com,广东省惠州市东江高新区上霞片区SX-01-02号
300323,华灿光电,华灿光电股份有限公司,C 制造业,2012-06-01,,湖北,武汉市,www.hcsemitek.com,湖北省武汉市东湖开发区滨湖路8号
300324,旋极信息,北京旋极信息技术股份有限公司,I 信息技术,2012-06-08,,北京,北京市,www.watertek.com,北京市海淀区丰秀中路3号院12号楼-1层至5层101
300325,德威新材,江苏德威新材料股份有限公司,C 制造业,2012-06-01,,江苏,苏州市,www.chinadewei.com,江苏省太仓市沙溪镇沙南东路99号
300326,凯利泰,上海凯利泰医疗科技股份有限公司,C 制造业,2012-06-13,,上海,上海市,www.kineticmedinc.com.cn,上海市张江高科技园东区瑞庆路528号23幢2楼
300327,中颖电子,中颖电子股份有限公司,C 制造业,2012-06-13,,上海,上海市,www.sinowealth.com,上海市长宁区临空经济园区金钟路767弄3号
300328,宜安科技,东莞宜安科技股份有限公司,C 制造业,2012-06-19,,广东,东莞市,www.e-ande.com,广东省东莞市清溪镇银泉工业区
300329,海伦钢琴,海伦钢琴股份有限公司,C 制造业,2012-06-19,,浙江,宁波市,www.hailunpiano.com,浙江省宁波市北仑区龙潭山路36号
300330,华虹计通,上海华虹计通智能系统股份有限公司,I 信息技术,2012-06-19,,上海,上海市,www.huahongjt.com,上海市长宁区广顺路33号H栋3-4F
300331,苏大维格,苏州苏大维格光电科技股份有限公司,C 制造业,2012-06-28,,江苏,苏州市,www.svgoptronics.com,江苏省苏州工业园区苏虹东路北钟南街478号
300332,天壕环境,天壕环境股份有限公司,D 水电煤气,2012-06-28,,北京,北京市,www.trce.com.cn,北京市海淀区西直门北大街32号枫蓝国际中心2号楼906室
300333,兆日科技,深圳兆日科技股份有限公司,I 信息技术,2012-06-28,,广东,深圳市,www.sinosun.com.cn,广东省深圳市福田区泰然八路泰然大厦C座1605
300334,津膜科技,天津膜天膜科技股份有限公司,C 制造业,2012-07-05,,天津,天津市,www.motimo.com,天津市经济技术开发区第11大街60号
300335,迪森股份,广州迪森热能技术股份有限公司,D 水电煤气,2012-07-10,,广东,广州市,www.devotiongroup.com,广东省广州市经济开发区东区东众路42号
300336,新文化,上海新文化传媒集团股份有限公司,R 文化传播,2012-07-10,,上海,上海市,www.ncmedia.com.cn,上海市虹口区东江湾路444号北区238室
300337,银邦股份,银邦金属复合材料股份有限公司,C 制造业,2012-07-18,,江苏,无锡市,www.cn-yinbang.com,江苏省无锡市新区鸿山街道后宅
300338,开元股份,长沙开元仪器股份有限公司,C 制造业,2012-07-26,,湖南,长沙市,www.chs5e.com,湖南省长沙市经济技术开发区开元路172号
300339,润和软件,江苏润和软件股份有限公司,I 信息技术,2012-07-18,,江苏,南京市,www.hoperun.com,江苏省南京市雨花台区铁心桥工业园
300340,科恒股份,江门市科恒实业股份有限公司,C 制造业,2012-07-26,,广东,江门市,www.keheng.com.cn,广东省江门市江海区滘头滘兴南路22号
300341,麦迪电气,麦克奥迪（厦门）电气股份有限公司,C 制造业,2012-07-26,,福建,厦门市,www.motic-electric.com,福建省厦门市火炬高新区(翔安)产业区舫山南路808号
300342,天银机电,常熟市天银机电股份有限公司,C 制造业,2012-07-26,,江苏,苏州市,www.tyjd.cc,江苏省苏州市常熟碧溪新区迎宾路8号
300343,联创互联,山东联创互联网传媒股份有限公司,I 信息技术,2012-08-01,,山东,淄博市,www.lecron.cn,山东省淄博市张店区东部化工区昌国东路219号
300344,太空板业,北京太空板业股份有限公司,C 制造业,2012-08-01,,北京,北京市,www.taikong.cn,北京市丰台区科学城中核路1号3号楼12层
300345,红宇新材,湖南红宇耐磨新材料股份有限公司,C 制造业,2012-08-01,,湖南,长沙市,www.chinahongyu.cn,湖南省长沙市金洲新区金沙西路068号
300346,南大光电,江苏南大光电材料股份有限公司,C 制造业,2012-08-07,,江苏,苏州市,www.natachem.com,江苏省苏州工业园区翠薇街9号月亮湾国际商务中心701-702
300347,泰格医药,杭州泰格医药科技股份有限公司,Q 卫生,2012-08-17,,浙江,杭州市,www.tigermed.net,浙江省杭州市滨江区江南大道618号东冠大厦1502-1
300348,长亮科技,深圳市长亮科技股份有限公司,I 信息技术,2012-08-17,,广东,深圳市,www.sunline.cn,广东省深圳市南山区粤海街道沙河西路深圳湾科技生态园一区2栋A座5层
300349,金卡智能,金卡智能集团股份有限公司,C 制造业,2012-08-17,,浙江,温州市,www.china-goldcard.com,浙江省温州市乐清经济开发区纬十七路291号
300350,华鹏飞,深圳市华鹏飞现代物流股份有限公司,G 运输仓储,2012-08-21,,广东,深圳市,www.huapengfei.com,广东省深圳市福田区八卦岭八卦路众鑫科技大厦第12层（大厦自编号1306#）
300351,永贵电器,浙江永贵电器股份有限公司,C 制造业,2012-09-20,,浙江,台州市,www.yonggui.com,浙江省天台县白鹤镇东园路5号（西工业区）
300352,北信源,北京北信源软件股份有限公司,I 信息技术,2012-09-12,,北京,北京市,www.vrv.com.cn,北京市海淀区中关村南大街34号中关村科技发展大厦C座1602室
300353,东土科技,北京东土科技股份有限公司,C 制造业,2012-09-27,,北京,北京市,www.kyland.com.cn,北京市石景山区实兴大街30号院2号楼8至12层901
300354,东华测试,江苏东华测试技术股份有限公司,C 制造业,2012-09-20,,江苏,泰州市,www.dhtest.com,江苏省靖江市靖江市斜桥镇新港大道208号（沿江公路罗家港桥东北侧200米）
300355,蒙草生态,内蒙古蒙草生态环境（集团）股份有限公司,N 公共环保,2012-09-27,,内蒙古,呼和浩特市,www.nmhxy.com,内蒙古自治区呼和浩特市盛乐经济园区盛乐五街南侧
300356,光一科技,光一科技股份有限公司,C 制造业,2012-10-09,,江苏,南京市,www.elefirst.com,江苏省南京市江宁经济技术开发区胜太路88号
300357,我武生物,浙江我武生物科技股份有限公司,C 制造业,2014-01-21,,浙江,湖州市,www.wolwobiotech.com,浙江省湖州市德清县武康镇志远北路636号
300358,楚天科技,楚天科技股份有限公司,C 制造业,2014-01-21,,湖南,长沙市,www.truking.cn,湖南省长沙市宁乡县玉潭镇新康路1号
300359,全通教育,全通教育集团（广东）股份有限公司,I 信息技术,2014-01-21,,广东,中山市,www.qtone.cn,广东省中山市东区中山四路88号尚峰金融商务中心5座18层之一
300360,炬华科技,杭州炬华科技股份有限公司,C 制造业,2014-01-21,,浙江,杭州市,www.sunrisemeter.com,浙江省杭州市余杭区仓前街道龙潭路9号
300362,天翔环境,成都天翔环境股份有限公司,C 制造业,2014-01-21,,四川,成都市,www.tbhic.cn,四川省成都市青白江区大同路188号
300363,博腾股份,重庆博腾制药科技股份有限公司,C 制造业,2014-01-29,,重庆,重庆市,www.porton.cn,重庆市(长寿)化工园区精细化工一区
300364,中文在线,中文在线数字出版集团股份有限公司,R 文化传播,2015-01-21,,北京,北京市,www.chineseall.com,北京市东城区安定门东大街28号2号楼9层905号
300365,恒华科技,北京恒华伟业科技股份有限公司,I 信息技术,2014-01-23,,北京,北京市,www.ieforever.com,北京市西城区德胜门东滨河路11号4号楼3层
300366,创意信息,四川创意信息技术股份有限公司,I 信息技术,2014-01-27,,四川,成都市,www.sc-troy.com,四川省成都市青羊区万和路99号丽阳天下7-9室
300367,东方网力,东方网力科技股份有限公司,C 制造业,2014-01-29,,北京,北京市,www.netposa.com,北京市海淀区学院路35号世宁大厦4层408室
300368,汇金股份,河北汇金机电股份有限公司,C 制造业,2014-01-23,,河北,石家庄市,www.hjjs.com,河北省石家庄高新技术产业开发区湘江道209号
300369,绿盟科技,北京神州绿盟信息安全科技股份有限公司,I 信息技术,2014-01-29,,北京,北京市,www.nsfocus.com,北京市海淀区北洼路4号益泰大厦5层
300370,安控科技,北京安控科技股份有限公司,C 制造业,2014-01-23,,北京,北京市,www.etrol.com,北京市海淀区地锦路9号院6号楼
300371,汇中股份,汇中仪表股份有限公司,C 制造业,2014-01-23,,河北,唐山市,www.hzyb.com,河北省唐山高新技术产业开发区高新西道126号
300372,欣泰电气,丹东欣泰电气股份有限公司,C 制造业,2014-01-27,,辽宁,丹东市,www.xintaidianqi.com,辽宁省丹东市振安区东平大街159号
300373,扬杰科技,扬州扬杰电子科技股份有限公司,C 制造业,2014-01-23,,江苏,扬州市,www.21yangjie.com,江苏省扬州市维扬经济开发区
300374,恒通科技,北京恒通创新赛木科技股份有限公司,C 制造业,2015-03-19,,北京,北京市,www.htcxms.com,北京市房山区窦店镇普安路87号
300375,鹏翎股份,天津鹏翎胶管股份有限公司,C 制造业,2014-01-27,,天津,天津市,www.pengling.cn,天津市滨海新区中塘工业区葛万公路1703号
300376,易事特,易事特集团股份有限公司,C 制造业,2014-01-27,,广东,东莞市,www.eastups.com,广东省东莞市松山湖科技产业园区工业北路6号
300377,赢时胜,深圳市赢时胜信息技术股份有限公司,I 信息技术,2014-01-27,,广东,深圳市,www.ysstech.com,广东省深圳市福田区深南路与新洲路交汇处东南侧航天大厦A座611A
300378,鼎捷软件,鼎捷软件股份有限公司,I 信息技术,2014-01-27,,上海,上海市,www.digiwin.com.cn,上海市静安区江场路1377弄7号20层
300379,东方通,北京东方通科技股份有限公司,I 信息技术,2014-01-28,,北京,北京市,www.tongtech.com,北京市丰台区丰台路口139号主楼311室(园区)
300380,安硕信息,上海安硕信息技术股份有限公司,I 信息技术,2014-01-28,,上海,上海市,www.amarsoft.com,上海市杨浦区国泰路11号2308室
300381,溢多利,广东溢多利生物科技股份有限公司,C 制造业,2014-01-28,,广东,珠海市,www.yiduoli.com,广东省珠海市南屏高科技工业区屏北一路8号
300382,斯莱克,苏州斯莱克精密设备股份有限公司,C 制造业,2014-01-29,,江苏,苏州市,www.slac.com.cn,江苏省苏州市吴中区胥口镇石胥路621号
